First Name,Last Name ,email,PHONE,birth_date,City,notes
James,Wilson ,james@gmail.com,2025551234,1990/05/12,New York,VIP customer
sara, Johnson,SARA@YAHOO.COM,+1-202-555-9876,15-03-1995,los angeles,
,Smith,mo@hotmail,201 555 2233,1988/11/30,New York,needs follow up
James,Wilson ,james@gmail.com,2025551234,1990/05/12,New York,VIP customer
Emily,Brown,emily.b@gmail.com,+12025559999,March 7 1992,CHICAGO,
Kevin,,kevin@,3055-678-901,1995/07/22,,new client
,Davis,nora@gmail.com,404 555 4455,22-09-1993,Houston,
Michael,Taylor ,MICHAEL@OUTLOOK.COM,+1 55 789 0123,1991/12/01,New York,
Emily,Brown,emily.b@gmail.com,+12025559999,March 7 1992,Chicago,
Maha,Lee,maha.lee@gmail.com,2129876543,1997/02/28,houston,loyal customer
